,action,reward,self.observation,self.state
0,0.0,1.452922077922078,[  6.95 -41.16   2.    77.  ],"[0.22, 0.21, 0.21, 0.22]"
1,0.0,1.4017857142857142,[17.39 -0.25  0.   68.  ],"[0.21, 0.2, 0.2, 0.21]"
2,0.0,1.4261363636363635,[ 16.13 -14.61   0.    75.  ],"[0.22, 0.2, 0.2, 0.22]"
3,0.0,1.4017857142857142,[ 12.57 -28.38   0.    67.  ],"[0.21, 0.2, 0.2, 0.21]"
4,0.0,1.4017857142857142,[17.47 -0.14  0.   68.  ],"[0.21, 0.2, 0.2, 0.21]"
5,0.0,1.4261363636363635,[ 16.23 -14.52   0.    75.  ],"[0.22, 0.2, 0.2, 0.22]"
6,0.0,1.4017857142857142,[ 12.67 -28.3    0.    68.  ],"[0.21, 0.2, 0.2, 0.21]"
7,16.0,1.2842261904761905,[ 1.755e+01 -4.000e-02  0.000e+00  6.900e+01],"[0.21, 0.2, 0.2, 0.21]"
8,0.0,1.4261363636363635,[ 16.32 -14.43   0.    76.  ],"[0.22, 0.2, 0.2, 0.22]"
9,0.0,1.4017857142857142,[ 12.78 -28.23   0.    69.  ],"[0.21, 0.2, 0.2, 0.21]"
10,2.0,1.2509920634920635,[17.64  0.07  0.   69.  ],"[0.21, 0.2, 0.2, 0.21]"
11,0.0,1.4261363636363635,[ 16.43 -14.34   0.    76.  ],"[0.22, 0.2, 0.2, 0.22]"
12,0.0,1.4017857142857142,[ 12.9  -28.17   0.    69.  ],"[0.21, 0.2, 0.2, 0.21]"
13,2.0,1.2509920634920635,[17.73  0.18  0.   70.  ],"[0.21, 0.2, 0.2, 0.21]"
14,0.0,1.4395292207792207,[ 16.54 -14.26   0.    77.  ],"[0.22, 0.2, 0.21, 0.22]"
15,0.0,1.4017857142857142,[ 13.02 -28.1    0.    70.  ],"[0.21, 0.2, 0.2, 0.21]"
16,2.0,1.4349580184232085,[17.83  0.28  0.   70.  ],"[0.21, 0.2, 0.3081, 0.3081]"
17,32.0,1.4767225007086664,[ 16.66 -14.17  14.   126.  ],"[0.2999, 0.3079, 0.21, 0.24]"
18,0.0,1.6424735490669968,[ 13.15 -28.04  18.   114.  ],"[0.3022, 0.3102, 0.22, 0.24]"
19,12.0,1.4182232229960574,[  7.64 -40.96   7.    84.  ],"[0.3163, 0.3169, 0.2, 0.2]"
20,4.0,1.4686305542283804,[  0.53 -52.85 160.    55.  ],"[0.26, 0.27, 0.23, 0.23]"
21,0.0,1.4139610389610389,[16.65 14.84  0.   69.  ],"[0.21, 0.2, 0.2, 0.22]"
22,0.0,1.4017857142857142,[17.94  0.39  0.   71.  ],"[0.21, 0.2, 0.2, 0.21]"
23,3.0,1.237847222222222,[ 16.78 -14.09   0.    78.  ],"[0.21, 0.2, 0.2, 0.21]"
24,0.0,1.4017857142857142,[ 13.28 -27.99   0.    71.  ],"[0.21, 0.2, 0.2, 0.21]"
25,0.0,1.4017857142857142,[  7.78 -40.93   0.    52.  ],"[0.21, 0.2, 0.2, 0.21]"
26,19.0,1.1202876984126984,[16.75 14.97  5.   85.  ],"[0.21, 0.2, 0.2, 0.21]"
27,0.0,1.4017857142857142,[18.05  0.49  0.   71.  ],"[0.21, 0.2, 0.2, 0.21]"
28,16.0,1.2842261904761905,[ 16.91 -14.01   0.    79.  ],"[0.21, 0.2, 0.2, 0.21]"
29,0.0,1.4139610389610389,[ 13.42 -27.94   0.    72.  ],"[0.22, 0.2, 0.2, 0.21]"
30,0.0,1.4017857142857142,[  7.93 -40.89   0.    52.  ],"[0.21, 0.2, 0.2, 0.21]"
31,13.0,0.08692303675856292,[16.85 15.09  0.   51.  ],"[0.19, 0.19, 0.1933, 0.1968]"
32,0.0,1.5403779644268774,[ 18.18   0.59  23.   114.  ],"[0.24, 0.22, 0.23, 0.25]"
33,0.0,1.4395292207792207,[ 17.04 -13.94   0.    79.  ],"[0.22, 0.2, 0.21, 0.22]"
34,0.0,1.4139610389610389,[ 13.57 -27.89   0.    72.  ],"[0.22, 0.2, 0.2, 0.21]"
